Q,A
썸남 인스타 좋아요 눌러버렸어.,"좋아요, 괜찮아요"
난 더 이상 아프지 않아.,척이 아니라면 좋겠네요.
마음이 울적해,음을 높게 들리는 게 좋겠어요.
엄마한테 힘들게 해줬어요,조금씩 보다 나은 모습을 보여드리세요.
엄마 힘들게 했어,좀 더 잘 보여드리겠습니다.
해체된 지 1년이 지났어요,아직도 힘들지 않았으면 좋겠어요.
해체된 지 1년이 지나면 다시 재결합이 어려울 거야,후회하지 않을 자신 있다면 연락해보세요.
헤어진지 1년이면 재회는 힘들겠죠,"당신이 후회하지 않을 것이라고 확신한다면, 나와 연락하십시오."
한 달 동안 잊으려고 노력해보라네,가끔은 다른 사람으로 잊혀집니다.
그가 날 찾으면 좋겠어,필요한 사람이 될 수 있을 거예요.
적응이 안되네.,익숙해지는 데 시간이 걸릴 겁니다.
나 욕 먹는 거 같아,다른 사람들의 눈을 걱정하지 마세요.
이게 내가 생각했던 거야,어떤 생각인지 궁금해요.
처음 보는 사람이랑 뭔 말을 하지,공통점을 찾고 있다고 상상해보세요.
이건 잠수함인가요?,상대방이 예의가 없네요.
잠에서 깨어나면 곧 죽을 것 같아요,기분전환이 필요한 것 같아요.
남편은 날 싫어해요,처음 만났을 때를 떠올려 보세요
진짜 시간이 짧는지 모르겠어요,흘러가는 시간 속에 덤덤해질 거예요.
진짜 시간이 약인지,시간이 지남에 따라 폐기될 것입니다.
청바지를 입을게,개시해보세요.
개강룩 입어볼까,시작하자
두 가지 꿈이야,더 많아도 괜찮아요.
꿈이 두 개야,더 많은 것이 좋습니다.
꿈이든 현실이든,정신차리세요.
꿈인지 현실인지,정신이 나지 마
내가 그녀를 생각하는 만큼 그녀도 다른 사람을 생각하겠지.,저는 그런 식으로 생각하기를 좋아합니다.
티켓은 너무 비싸죠.,일찍 구매하면 좀 더 저렴하게 살 수 있어요.
비행기표가 너무 비싸,일찍 구입하면 더 저렴하게 구입할 수 있습니다.
내가 가장 좋아하는 여행자가 있는데 뭘 해야 할지 말해줄 수 없어,왜 말을 못해요.
좋아하는 여선배가 있는데 말할 수도 없고 어떡함.,왜 말을 안 할 수 있어?
난 그것을 극복하기 위해 모든 것을 시도했다.,문득 생각나고 잊혀지지 않나봐요.
주차가 없어요,한바퀴만 더 돌면 짠하고 나타날 거예요
주차장에 자리가 없어,한 번 더 돌면 튀어나올 거야
계속 생각하고 좋아하면 꿈에 나오려나.,"자주 생각해보면, 나올 수 있습니다."
우리가 헤어졌지 6일이 지났어,어느덧 6일이 되었나봐요.
헤어진지 6일째,벌써 6일이 지났어요
이제는 먼저 놓아줄까 합니다,결정이 충분하다고 생각합니다.
"시간은 약이고, 독이 될 것 같습니다.",좀 더 시간이 필요한 것 같네요.
이런사람을만나고싶네,그런 사람을 만나고 싶어요.
난 싫어,나 좋다는 사람 만나세요.
내가 싫대,나에게 좋은 사람을 만나라.
한 달간의 분리 이후,달라진게 많을 거예요.
4개월 만에 헤어졌어요,무슨 변화가 있었나요.
헤어진후 4개월,무슨 변화가 있었나요?
피자 배달이 됐고 다 끝났어,그래도 맛있게 드세요.
피자 배달 왔는데 다 식었네,하지만 잘 먹어라.
팔꿈치가 너무 두꺼워요,펭귄 운동 해보세요.
흑역사 제조 완료,흑인 상인들은 앞으로도 기억될 것입니다.
하루를 효율적으로 보내고 싶어요.,한 시간 먼저 일어나보세요.
하루를 효율적으로 보내고 싶어,1시간 일찍 일어나
난 데이트 계획에 너무 능숙해,데이트 계획 짜오라고 해봐요.
데이트 계획을 너무 나만 짜는거같아.,데이트를 계획하고 있다고 합시다.
오래된 게 좋겠지,오래된 물건은 오래된 물건만큼이나 매력적입니다.
잘하는 게 직업이야,눈을 감고 곰곰히 생각해보세요.
잘하는 게 직업이면 좋겠지,눈을 감고 신중하게 생각해보세요.
여자친구가 나를 떠날까봐 고민이야.,무슨 일이 일어나지 않을지 걱정할 필요가 없습니다.
1년 후에는 꿈을 꾸게 될 거야,은연 중에 생각했나봐요.
1년만에 꿈에나와서 설레게하네,공연 중에 생각해봤어요.
내가 싫어하는 건 아니지,딱히 좋지도 않나봐요.
싫은 건 아닌데,잘 안된다고 생각해요.
어제 짝녀한테 너무 차갑게 말한 듯.,죄송합니다.
연락처를 바꿔라,기억에서 지울 순 없지만 최대한 생각 말아보셔요.
연락처좀 바꿔 주라,지울 수는 없지만 생각할 수 있는 만큼 생각해 볼 수는 없습니다.
사랑하는 사람에게 부담이 되고 싶으세요?,맨날하지 말고 조금은 여지를 줘보세요.
정말 오랜만에 글을 쓰네,글쓰기는 정신 이론에 도움이 됩니다.
나는 빠르며 오랫동안 사랑했던 사람을 보고 놀랐습니다.,대단한 일이지요.
난 금사빠라서 오랫동안 좋아하는 사람 보면 신기해.,정말 멋지네요
연락이 많이 있었는지 모르겠어요,관심 없으면 연락 안합니다.
연락 많이하는데 썸인지 모르겠어,관심이 없다면 연락하지 않겠습니다.
오늘부터 한 달이 지났습니다.,그렇게 해가 흐르나봐요.
또오늘부터 한달이 시작되었네.,그렇게 해가 내려갑니다.
이밤이 지나면.,더 나은 내일이 있을 겁니다.
잠을 잘 수 없었을 거야,뻐근한가봐요.
잠 잘못 잤나봐,예쁘게 생겼어
놀고 싶어!,저도요!
놀러가고싶다!,나도 사랑해!
작별이야기야,어느 이야기보다 가슴 먹먹할 거예요.
이별 이야기.,다른 이야기보다 네 가슴을 더 많이 먹을 거야
여자들이 좋아하는 남자 싸움은 뭐죠?,아무래도 다정한게 좋을 것 같아요.
이제 은퇴해야 할까요?,끝까지 해보세요.
이제 은퇴해야 하나?,끝까지 해봐
나쁜 메시지를 보냈어요,보냈으니 어쩔 수 없죠.
김치치 좀 먹으려요,맛있는 식사시간 되시길 바랄게요.
당신 옆에 누가 있는지는 중요합니다.,옆 사람에게 잘해주세요.
옆에 있는 사람이 중요해,옆에 있는 사람에게 친절해.
당신에게 보낸 편지.,보내지마요.
지금은 결혼한 전 남자친구야,이젠 그를 놓아주세요.
이젠 유부남이 된 전남친,이제 그를 떠나라.
롱패딩 살까,그리고 그 때 차가워요.
"매주 화요일, 그녀는 당신을 만날 수 있습니다.",즐거운 날이 되겠네요.
매주 화요일 그녀는 마주할 수 있어.,재밌는 날이 될 거야
짝녀가 단톡에선 답장하고 갠톡은 답장 안해.,철벽이야
보통 닭이 되면서 밀어붙여요?,그렇기도 하지요.
보통 썸이면 밀당해?,그래요
내 여자친구는 향신료에 집착합니다.,사람마다 집착하는 게 다르니 인정해주세요.
여자친구가 향기에 집착해,"인정하자면, 사람마다 다르죠."
대기업 취직 어려울까,괜찮아질 거야
사랑하기 어렵죠.,사랑에 지쳤나봐요.
인턴 원서 넣어 볼까,경험은 어떤 식으로든 도움이 될 것입니다.
외로움을 극복할 수 있는 방법이 필요합니다.,새로운 일을 경험해 보세요.
외로움을 이겨내는 법 좀,새로운 것을 시도해 보세요.
이런 여자.이런남자.안대용~,또 다른 실수를 할 수는 없죠. 당신이 알고 있더라도요.
괜찮을 거야?,제가 도와줄게요.
날 사랑한다고 말하지 마,사랑한다고 말해 달라고 하세요.
사랑한다고 말을 안해줘,그가 당신을 사랑한다고 말해달라고 요청하세요.
이별이 있어야 인연도 있는거 같아.,갈라지는 것은 새로운 시작이 될 수 있습니다.
연령별 관계에 대해 어떻게 생각하시나요?,연애에 나이가 대수인가요.
나이가 많이 차이 나는 연애 어떻게 생각해?,사랑에 빠지기엔 충분히 늙었나?
사랑이 뭐가 대수라고,사랑은 인생에서 매우 중요한 감정입니다.
이건 걱정이야,생각을 종이에 끄젹여여 보는게 도움이 될 수도 있어요.
고민이 되네,당신의 생각을 종이 위에 살펴보는 것이 도움이 될 수 있습니다.
3일 간격으로,아직 많이 힘들겠어요.
대답해줘,연락을 기다리고 있나봐요.
답 좀 줘,전화기를 기다리고 있는 것 같아요.
점심 얘기 좀 할 수 있어?,엄청난 용기가 필요하겠네요.
라면먹고갈래 말해볼까?,많은 용기가 필요합니다.
세상 젤 아픈 이야기는.!!,다 성취되지 않은 사랑이야기야
내가 아니었어,사랑해주는 사람이 있을 거예요.
난 아니라네.,당신을 사랑하는 사람이 있을 겁니다.
나도 그녀가 좋아한다고 생각했어요.,가끔 헷갈리게 하는 사람이 있어요.
그녀도 나를 좋아하는 줄 알았는데 아닌가봐.,가끔씩 저를 혼란스럽게 하는 사람들이 있습니다.
사람과의 이별은 아니구,작은 싸움이 있었으면 좋겠어요
고의는 아닌데 실수를 한 거 같아,미안해
내 친구가 될 만큼 좋은 놈이야,친구가 아닌가봐요.
처음에는 좋았는데 점점 별로,그가 가진 좋은 것들을 생각해 보세요.
끝이야,또 다른 시작이 될 거예요.
마침표.,또 다른 시작이 될 겁니다.
널 만나지 않았으면 좋겠어,그때는 누구보다 사랑했으니 후회하지 말아요.
차라리 널 만나지 않았더라면,다른 사람들보다 그녀를 사랑했다는 것을 후회하지 마세요.
왜 짧은 연애를 반복해야 할까요?,상대를 더 이해하고 배려해보세요.
전 왜 짧은 연애만 반복될까?,상대방을 더 잘 이해하고 돌보려고 노력하세요.
우리가 헤어졌지 3개월이 됐어,아픔을 헤아리지 마세요.
헤어진 후 거의 세 달이 되어가네,고통을 놓치지 마세요.
여자친구가 소극적이야.,좀 더 활발한 사람이라면 큰 승금을 보내주세요.
이별은 받아들이는게 맞는건가보네.,왜냐하면 각자의 방식이 있기 때문입니다.
헤어졌을 때 똥이 없지 않도록 하고 싶어요,미련은 사랑을 증오로 만들 수 있으니까요.
이별할때는 미련 갖지 않게 해주는게 좋겠어,왜냐하면 속임수가 사랑을 증오로 바꿀 수 있기 때문입니다.
다칠 건 싫어요,내가 우선순위면 돼요.
상처 안 받고 싶다,제 우선 순위입니다.
점심 메뉴 고르는 거 힘드네,누구와 함께 먹느냐에 달려 있습니다.
작은 상처,아픔의 흔적.
작은 상처들,통증의 징후
7년간의 남자친구가 배신했습니다.,헤어지세요.
서류는 없어요,붙는 곳이 있을 거예요.
사랑하는 사람이랑 헤어져야해,듣기만 힘들어요
보스를 인사해야 할까요?,원하는 꼰대가 있죠.
일하러 가는 데 시간이 너무 오래 걸립니다.,대중교통을 이용해 보세요.
출퇴근 시간 너무 오래 걸려.,대중교통을 이용하세요.
계속 화가 나요,그럴수록 당신이 힘들 거예요.
자꾸 화가나,너한테는 더 힘들어
책만 보고 자고 있어요.,눈꺼풀의 무게를 이겨내세요.
책만 보면 졸려,눈꺼풀의 무게를 없애라.
오늘 밤 말해야 할 모든 것을 없애려고 해요!,제가 다 들어 드릴게요.
오늘밤 하고픈 말 다쏟아내려합니다!,난 그들 모두를 들어보겠습니다.
난 네가 불면증을 앓고 있다고 생각해요.,고민이 많은가 봐요.
불면증 온 거 같아.,걱정할 게 많아요
겁이 나네요,누구도 해치지 않아요.
전화번호를 불러줄 수 있다면 무슨 의미가 있을까요?,그건 좀 참아보세요.
난 딱딱한 사람이야,아닐 거예요.
나만 힘든건지,그렇게 생각하지 않아요.
정말이지 이렇게 살고 싶지 않네,하지만 그는 여전히 살아있다.
썸남한테 크리스마스 선물 오바?,작은 선물은 서로의 짐을 덜어줍니다.
의욕상실,하고 싶은 일을 적어주세요.
차를 마친 뒤 전화가 왔어?,그런 경우도 있겠지요.
친구들에게 인정받기를 원합니다.,지금도 인정받고 있어요.
쉽지 않은 일이야,자신을 이겨야해요.
금연이 쉽지 않아,자기 자신을 이길 필요가 있다.
내가 깨뜨릴 거야,꼭 필요한 곳이라면요.
저금통 깰까,필요한 곳이죠.
헤어진 지 1개월 후,금방 지나갔네요.
이별후 한달,시간이 지났어요
오늘도 연락을 기다리는 나,끝을 아는 게 중요하다고 생각합니다.
대체불가한 사람이 되고 싶어,아직도 그래요
치매가 더 심해지는 것 같아 무서워,좀 더 연락해서 관심을 가지세요.
자다가 깨서 분노,저는 많은 나쁜 일이 일어났다고 생각합니다.
기본이 뭔지도 모르는 것 같아.,기본은 다를 수 있습니다.
아침에 들을 노래 뭐가 좋을까,애국적이야
봄이 왔어,인생에도 봄이 오길 바라요.
봄의 계절이 찾아왔네,내 인생에 봄이 올 수 있기를 바랍니다.
진짜로 들리지 않아요,세상에 별별 사람들이 다 있죠.
진짜 되도 않는 소리하네,이 세상에 훌륭한 사람들이 많이 있습니다.
웃는 줄 알았어,재미 있어하실 줄 알았어요.
내가 사랑하는 사람에 대해 속이는 것을 좋아하지 않는다.,짝사랑 앞에 판단이 흐려지기 마련이에요.
당신의 남자친구가 내 친구를 좋아한다는 현실을 어떻게 받아들일 수 있을까요?,가슴 아프지만 인정해야하는 순간이네요.
짝남이 내 친구 좋아하는 현실 어떻게 받아들여요?,가슴 아픈 일이지만 인정해야 할 시간입니다.
잘 해보자!,아무렇지도 않는 날이 올 거예요.
잘 버텨봅시다!,아무 일도 일어나지 않을 날이 올 거야
나한테 집중해,사랑은 강요하는게 아니에요.
나에게만 집중했으면 좋겠어,사랑은 강요되지 않습니다.
다 치고 싶어요,많이 지치고 힘든가봅니다.
다 때려 치우고 싶어,너무 피곤하고 힘들어요.
오늘 데이트 있어요,댄디룩이 무난할 것 같네요.
난 사귀고 있어,진정으로 사랑한다면 그 사람도 당신의 사랑을 알아볼거예요.
짝사랑중이야,"당신이 진정으로 사랑한다면, 그들은 당신의 사랑을 인식할 것입니다."
좋은 관계 어떻게 유지하지,서로에 긍정적인 영향을 미치는 관계입니다.
우리가 만난 지 100일이 됐어,알콩달콩 사랑할 때네요.
썸인지 착각인지,얼마나 많은 연락처가 들어왔는지 확인해
힘들어 오늘 다시 무너졌어,다시 일어서세요.
힘듭니다 오늘 또 무너졌어,다시 일어나
갈라진 후,착잡한 마음을 감출길이 없지요.
이별 뒤.,나쁜 마음을 없애는 방법은 없습니다.
지난 주에 헤어졌어요,지금 많이 힘들겠어요.
글을 쓸 수 있어,글을 쓰다보면 정리가 될 거예요.
글을 쓰게 되네,"만약 당신이 글을 쓰면, 그것은 이론적인 것입니다."
이런 식으로 나를 좋아하는 사람이 있나요?,당신은 정말 멋진 사람이에요. 깍아 내리지 마세요.
이런 나를 좋아해주는 사람이 있을까?,넌 정말 멋진 사람이야 부끄러워하지 마
쉽지 않은 일이야,꽃길만 걷길 바랄게요.
쉬운 게 없네,그냥 꽃의 길을 걷고 싶어요.
마음이 변할까봐 두려워,서로 믿으세요
여름이 끝나면,곧 지나갑니다.
여름 끝났으면,곧 끝납니다.
꿈에서 나오지 마,이제 정말 끝일거예요.
꿈에 나오지마 제발,정말 끝났어
무슨 일이야?,사정을 잘 설명해보세요.
전세비 갑자기 올랐어 어떡하지,상황을 명확하게 설명해 주세요.
잠수함,좋은 선택이 아니에요.
잠수,좋은 선택이 아닙니다.
남자들은 분리하기가 어렵다고 생각했어요.,이별의 아픔엔 성별이 중요하지 않아요.
저는 이별하면 남자만 힘든 줄 알았어요.,젠더는 별개의 고통에서 중요하지 않습니다.
왜 태어났는지 궁금합니다.,사랑 받기 위해 태어났어요.
나는 왜 태어났을까,사랑받기 위해 태어났습니다.
거의 죽었어,지금은 괜찮길 바랄게요.
집에서 멀리 떨어져 있는 데이트하러 차를 사야 할까요?,비용을 따져보세요.
취미생활하는데 돈이 많이 들어,하지만 취미는 재미있죠.
언니랑 다퉜어,그들은 싸울 것입니다.
좋아하는 거 기준이 뭐임?,그것은 기본적으로 당신이 계속 생각하고 보고 싶어하는 것입니다.
나한테 질리면 어쩌지 걱정돼,"당신이 진짜 누군지 보여주세요, 외모가 아닌요."
내 눈물들이 쏟아져 나오고 있습니다.,그냥 우세요.
오늘 꿈에서 그녀가 먼저 카톡 해줬어,내가 기다렸던 일이야
결혼식 전에 준비해야 할 일이 많죠?,결혼을 하려는 두 사람의 마음이 가장 먼저 준비되어야 할 거예요.
결혼 전에 준비할 게 많겠지?,결혼하려는 두 사람의 마음은 먼저 준비되어야 합니다.
10일이 지났어요,이별을 헤아리지 말아요.
난 누군가를 좋아할까봐 무서워.,좋아하는 감정을 느낀다는 자체가 참 행복한 거예요.
누군가를 좋아하는게 두려워.,사랑하는 것을 느끼는 것은 매우 행복합니다.
더 이상 널 사랑할 수 없어,지금은 그렇게 생각해도 다시 사랑이 찾아올 거예요.
이젠 다시 사랑 못할 것 같아.,이제 생각해보면 다시 사랑을 찾을 수 있을 겁니다.
결혼하는데 돈이 엄청 드네,작은 결혼식 준비되면 조금 줄일 수 있습니다.
그렇게 오래 살았지만 이해가 안 돼,온전한 이해는 없어요.
그렇게 오래 살았는데도 이해를 못하겠어,난 완전히 이해하지 못해요.
친구랑 나랑 자꾸 비교하게 돼,비교는 끝이 없습니다.
괜찮아요,인고의 시간이 필요했을 거예요.
마음 정리가 되네.,회복하는 데 시간이 걸리겠죠.
이혼할 계획이라면,이별을 준비하는 기간이 필요할지도 모르겠네요.
"정말 힘든 일이야, 일하는 엄마",슈퍼우먼이 되려고 하지 마세요.
내가 좋아하는 놈은 사기꾼이라고 생각하니 왜 그를 지키지?,상처받지 않았으면 좋겠네요.
하소연 좀 해도 되나,천천히 시도해 보세요.
데려다 주지도 않고,그들은 매우 바쁘다.
내 자신을 사랑하라.,"네, 맞아요"
가끔은 혼자인게 좋다,혼자 있는 것을 즐기세요.
버그인지 버그인지 모르겠어요,연락 빈도랑 언제 연락오는지 확인해보세요.
썸인지 쌈인지,연락의 주파수를 확인하고 언제 연락할지 확인하세요.
그가 무슨 말을 했는지 기억하지 못하고 나를 혼란스럽게 하는 남자?,녹음이나 메모로 증거를 남겨보세요.
자기 말은 기억 못하고 나만 혼내는 사람 어떡해?,기록이나 메모로 증거를 남기십시오.
위층 소음 괴롭다.,그녀는 이웃들로부터 고통 받고 있습니다.
지긋지긋한 연휴.,영화 좀 봐
기분이 그지 같아,흥미진진한 음악을 들어보세요.
내 남자친구는 할 말이 별로 없어요.,표현 안 하면 하나도 모르겠다고 해보세요.
남자친구가 표현이 너무 없어. 너무 무뚝뚝해.,"만약 당신이 그것을 표현하지 않는다면, 아무것도 모르는 척하십시오."
긴 주였어,쉬어가도 돼요.
식료품을 사줄래?,사귀면서 편식을 고쳐봐도 좋을 것 같아요.
안경 벗고 완전 훈녀,마치 만화처럼
네 꿈을 자주 꾸는데,저는 종종 그것에 대해 생각합니다.
- 나도 몰라,입을 닫고 듣는 연습을 해보세요.
막말 할거 같은데,입을 닫고 듣는 연습을 해 보세요.
장기적인 관계를 원하십니까?,"고마워, 사랑해, 미안해 항상 표현해주세요."
연애를 오래하려면?,"고마워, 사랑해, 미안해, 항상 표현해줘"
가혹한 이별 극복방법.,내가 좋아하는 만큼 힘들어.
"사람들은 내가 그를 좋아한다고 말하지만, 나는 이해하지 못한다.",직접 두분이서 대화를 나누는게 필요하겠어요.
패배를 두려워서 붙잡는 게 내 일이 아닙니다.,놓아줄 때를 아는 것도 중요한 것 같아요.
행여 잃을까봐 꼭 쥐고 있어야 하는건 내 것이 아닙니다.,언제 떠날지 아는 게 중요하다고 생각합니다.
거래하는 사람이 있는데 어떻게 연락할 수 있을까요?,관계를 지속해도 되는 사이라면 직접 물어보는게 좋겠어요.
거래처 직원을 좋아하게 됐는데 어떻게 연락할까.,"만약 당신이 관계를 유지할 수 있다면, 스스로에게 물어보세요."
좀 궁금해서요,"좋은말 나와야 본전, 나쁜말 나오면 기분 안좋아요."
애정운 궁금하다,좋은 일들이 나오고 나쁜 것들은 기분이 좋지 않습니다.
마리골드 블루라고 생각했어요,서로에게 의지해보세요.
메리지블루인가봐,서로 의지해
어떻게 해야 할까요?,잠시 차분하게 생각해봐요.
어떻게 해야 할까?,잠시 조용히 생각해보세요.
사랑해,혼자인 기분.
짝사랑,외롭다.
우리는 이 상황을 어떻게 해석해야 합니까?,객관적으로 생각해보세요.
이런 상황 어떻게 해석해야 할까?,객관적으로 생각해 보세요.
"하루, 이틀, 이제 3일.",익숙해질 거예요.
마치 끝나는 사랑이야,연애하면서 힘들었겠어요.
내 스타일이 아니었어,새로운 스타일 도전해 보시면 어때요?
우린 운명이었어,운명이 아니였다면 사랑도 할 수 없었겠지요.
날 열정적으로 사랑해,정열적으로 다가가 보세요.
정열적인 사랑 하고 싶어,자세히 봐
기다리는 것도 행복해,오늘 오후에 나사우로 오시면 처음부터 행복해집니다.
프레젠테이션을 준비하는 건 너무 힘들어요.,잘할 수 있을 거예요. 조금만 더 힘내세요.
한 달이 지났어요,금방 나아질 거예요.
이혼을 앞둔 부부밥상,난 올라가는 게 너무 어렵다고 생각해요.
녹차 한잔 하시겠습니까?,드시는거 보기만 해도 좋아요.
다시 잡으려요,후회하지 않는다면 지금 잡으세요.
나 오늘 상 받았지롱,축하합니다.
난 또 바보야,바보를 사랑하는 사람이 있을 거예요.
정신이 나갔어,그럴 수 있어요.
나 미쳤나바,우린 할 수 있어
끓여서 먹어야 해요,따뜻하게 드세요.
생강차 끓여 먹어야겠다,따뜻하게 먹어
2주째요,어느덧 2주가 지났어요.
헤어진지 2주째 .,거의 2주 됐어요
낚시는 재미있나요?,한 번 빠지면 헤어나올 수 없다고 해요.
하지만 아프네요,사랑한 만큼 아픔이 오죠.
내가 멍청하다고 생각했어,지금이라도 헤어지세요.
시간이 눈물로 흐른다.,언젠간 눈물은 멈추고 시간은 계속 흐르거예요. 그럼 괜찮아질 거예요.
시간은 눈물과 흐르고,언젠가는 눈물이 멈추고 시간이 계속 흐르게 될 것입니다.
결혼식처럼 될 것 같아요,혼자 준비하기는 조금 벅찰텐대요.
세상은 혼자인가?,혼자이면서 함께하죠.
세상은 혼자인거죠??,혼자 있고 함께 있어요.
그냥 몇 개뿐이야,사랑으로 이어질 수 있어요.
짝남은 짝남일 뿐인가.,사랑으로 이어질 수 있습니다.
남자친구의 핸드폰을 살펴볼게요,궁금하다고 보고 싶다고 먼저 말해보는 게 좋을 거 같아요.
15일이 지났어요,시간은 빠르게 흘러 가죠.
벌써 15일이나,시간이 빠르게 흘러가고 있습니다.
블록체인은 무엇일까요?,쉽게 말해서 수없이 많은 블록들이 체인으로 엮여있는거예요.
블록체인이 뭐야?,"간단히 말해서, 쇠사슬에 수없이 많은 블록이 엮여 있습니다."
사랑의 힘은 진짜 위대한듯,사랑은 헐크보다 강하다.
사진을 찍을 수 없어요,천천히 지워도 돼요.
사진을 못지우겠네,천천히 지울 수 있습니다.
남자친구가 나를 더 좋아하게 할 수 있는 방법,더 많은 사랑을 표현하려고 노력하세요.
내 남편은 날 사랑하지 않는 것 같다.,현실적으로 생각해보세요.
남편이 날 사랑하지 않는 것 같아. 이혼해야할까?,현실적으로 생각해 보세요.
사랑이 부족해서요?,더 노력해보세요.
내 사랑이 부족한걸까?,더 열심히 노력해
결혼 시기가 맞나요?,결혼뿐만 아니라 인생은 타이밍의 연속이예요.
결혼은 타이밍인가?,결혼뿐만 아니라 인생도 일련의 시간입니다.
내 남자친구와 그의 동생은 같은 이름을 가지고 있습니다.,놀랐겠어요.
짝남이랑 동생 이름이 똑같아.,놀랐을 겁니다.
"해체 후,",많은 변화가 있었지만 긍정적인 변화이길 바랍니다.
이별이 온 후,많은 변화가 있었지만 긍정적이길 바랍니다.
너무 강력해요,저한테 말해보세요.
여기 1년째 살고 있는데도 괜찮아요,서로 깊게 알게되면서 더 좋아졌나봅니다.
1년 동거 중인데 계속 좋아,우리가 서로를 더 잘 알게 된 것 같아요.
무슨 느낌이야?,저도 궁금해요.
이 기분은 뭘까,저도 궁금합니다.
결혼식 후 데이트 할 수 있나요?,무엇이 먼저든 마음만 있으면 돼요.
선 결혼 후 연애 해도 될까?,우선 순위가 뭐든 생각만 하세요.
너무 친절해요,더 많이 챙겨주세요.
좋아할 사람을 불러,즐거울 거예요.
좋아하는 애랑 전화하면,재밌게 될 거야
짝녀한테 공부 가르쳐달라고 해볼까,"만약 당신이 도움을 요청한다면, 당신은 가까이 갈 수 있습니다."
짝남에게 빼빼로 줘도 될까,용기를 줘!
계속 그를 생각해요,다른 일에 집중 해보는 건 어떨까요.
흐앙 . 왤케 자꾸 생각나죠,왜 다른 것에 집중하지 않는가?
헤어져도 그러려니 하겠지 했는데,갈라지는 법은 항상 딱딱합니다.
만나면 싸워요,만나지 마세요.
돈이 없어서 해야 할 일이야,필요하다면요.
돈 없는데 투잡이라도 해야 할까,필요하다면
나랑 좋은 시간을 보내고 있지만 지루하게 되면 무슨 일이 일어날지 걱정해요,불행을 연습하거나 미리 걱정할 필요 없어요.
잘 만나고 있는데 나 질려하면 어쩌지 걱정이야,불행을 연습하거나 걱정할 필요는 없습니다.
쓰레기는 언제 비워질까요?,적당히 차면 잘 버려 주세요.
쓰레기 언제 비워,제대로 착용하고 있다면 가만히 두세요.
보드게임은 재미있습니다.,저도 하고 싶네요.
보드게임 재밌다,저도 하고 싶어요.
남자친구 오늘 좀 질린다.,더 빨리 연결될수록 더 좋죠.
이별을 해야하나봐,그건 마음입니다.
전력망에서 자고 있어요,뜨끈하게 겨울 나길 바랍니다.
전기장판 깔고 자고 있어,따뜻한 겨울이 되길 바랍니다.
썸남이랑 밥 먹기로 했는데 뭐 먹자고 하지?,그들이 무엇을 먹고 싶은지 물어보고 맛집을 찾아보세요. 하지만 맛있고 분위기 좋은 곳이라면 좋을까요?
두 번 헤어지는 건 싫어요,헤어짐는 순간은 악몽과 같아요.
두번 다시 하기 싫은 헤어짐,헤어지는 순간은 악몽처럼 느껴집니다.
자장가 불러 달랬더니 불러줬어,로맨틱한 거야
단단한 중력을 얻자,견적 받고 충격 받지 마세요.
렌터카 빌릴까봐,자동차가 필요하다고 가정해 봅시다.
내가 카토를 보냈어,후회가 남는 것 보단 연락하는게 낫죠.
카톡 보냈어,후회하는 것보다 연락하는 게 낫습니다.
나이가 들면서 많이 울고 있어요,세상 걱정 혼자 다 해서 그래요.
나이들면서 눈물이 많아졌어,전 혼자 세상을 걱정하고 있어요.
씻어도 냄새나는 거 같애,"몸 씻기, 몸 로션, 섬유 윤활료, 향신료를 사용하십시오."
내 남편은 정말 날 사랑합니까?,남편을 의심하지 마세요.
남편이 날 진심으로 사랑하는 걸까?,남편을 의심하지 마세요.
짝남이 고시생이면 기다려야 하나요?,기다릴 수 있다면 기다려
아직 너무 힙니다.,아무렇지도 않은 날이 올 거예요.
사랑하는 사람 앞에서 얼굴을 쳐다볼 수 없다는 뜻이야?,귀여울 것 같아요.
고양이와 마우스의 게임을 보여줘서 모욕하고 싶어요,당장 차단하세요.
제발 날 구해줘 힘들어,감히 힘내라는 말도 못하겠네요.
제발 저좀 살려주세요 힘들어,난 용기가 없다고 말할 수 없다.
이런 날씨 우린 그렇게 만났었지,날씨가 있는 사람들을 기억하는 것은 매일 힘들죠.
술 먹으니 연락하고싶어지네,연락처를 삭제하라
당신이 누구에 사랑에 빠졌는지 절대 잊지 못할 것 같아요.,생각처럼 쉽지 않지요.
늦은 밤과 주말 브런치,완벽한 주말이네요.
늦잠과 브런치 수다가 있는 주말,완벽한 주말입니다.
갈라진 이야기,제게 들려주세요.
커피 없이는 집중할 수 없어요.,커피에 너무 의존하는 것 아닌가요.
커피 없으면 집중이 안돼,커피에 너무 의존하지 않나요?
이건 가족이 아니라 가족이야,가족이 될 사람일지도 모르죠.
가족이 아니지만 가족같은.,어쩌면 가족일지도 몰라
너무 힘들어,아무리 힘들어도 자신을 보듬어주세요.
이제 날 좋아하는 사람을 만나고 싶어요.,좋아해주는 사람 만날 수 있을 거예요.
체육관에서 거의 다쳤어요,운동할 때 조심하세요.
운동 갔다 다칠 뻔했어,운동할 때 조심하세요.
우리가 가진 모든 것이 사랑이라고 생각했던 사람들,그때는 우리 다 순수했던 걸까요.
사랑만으로 다 될줄 알았던 우리들,그 당시 우리는 모두 순수했습니다.
전 단편을 더 좋아해요,너무 이뻐요.
원피스 입는 게 낫겠지,너무 귀여워요
내가 먹었어,배고프지 않아요.
밥 먹었니,난 배고프지 않아
